ad_id,latitude,longitude,bairro,cidade,geometry
725181308200077596,-27.15639,-48.5762,Perequê,Porto Belo,POINT (-48.5762 -27.15639)
574492757967063347,-27.1457,-48.58387,Perequê,Porto Belo,POINT (-48.58387 -27.1457)
41434073,-27.15435,-48.58852,Jardim Dourado,Porto Belo,POINT (-48.58852 -27.15435)
41082173,-27.14446,-48.58806,Meia Praia,Itapema,POINT (-48.58806 -27.14446)
41590719,-27.14307,-48.59441,Meia Praia,Itapema,POINT (-48.59441 -27.14307)
744316645679535513,-27.14266,-48.58895,Meia Praia,Itapema,POINT (-48.58895 -27.14266)
52881554,-27.14454,-48.58866,Meia Praia,Itapema,POINT (-48.58866 -27.14454)
32006813,-27.15119,-48.59525,Jardim Dourado,Porto Belo,POINT (-48.59525 -27.15119)
31924629,-27.14964,-48.59482,Jardim Dourado,Porto Belo,POINT (-48.59482 -27.14964)
38800916,-27.15303,-48.59061,Jardim Dourado,Porto Belo,POINT (-48.59061 -27.15303)
