ad_id,latitude,longitude,bairro,cidade
52337033,-27.15767,-48.56973,Vila Nova,Porto Belo
754257225154659006,-27.15509,-48.57356,Perequê,Porto Belo
29571409,-27.152,-48.58027,Perequê,Porto Belo
53831507,-27.1547,-48.57845,Perequê,Porto Belo
31333893,-27.15663,-48.575,Perequê,Porto Belo
47471658,-27.15703,-48.5772,Perequê,Porto Belo
31556344,-27.14683,-48.58142,Perequê,Porto Belo
52618493,-27.15183,-48.57644,Perequê,Porto Belo
40121694,-27.1578,-48.56042,Vila Nova,Porto Belo
733119821798759162,-27.15454,-48.56896,Perequê,Porto Belo
46524716,-27.15148,-48.57503,Perequê,Porto Belo
52597718,-27.15197,-48.58153,Perequê,Porto Belo
54315426,-27.15991,-48.56088,Vila Nova,Porto Belo
30529269,-27.14722,-48.58127,Perequê,Porto Belo
47996620,-27.15032,-48.57796,Perequê,Porto Belo
54335217,-27.15404,-48.57393,Perequê,Porto Belo
765245467313300967,-27.14828868096292,-48.58012566190185,Perequê,Porto Belo
39895753,-27.14828,-48.58191,Perequê,Porto Belo
52731252,-27.1532,-48.57421,Perequê,Porto Belo
53547226,-27.15287,-48.58124,Perequê,Porto Belo
53601110,-27.148069,-48.580708,Perequê,Porto Belo
52494654,-27.15875,-48.57215,Vila Nova,Porto Belo
41687542,-27.15328,-48.57254,Perequê,Porto Belo
46567795,-27.1551,-48.57379,Perequê,Porto Belo
44850705,-27.15135,-48.57516,Perequê,Porto Belo
53113023,-27.1544,-48.56756,Perequê,Porto Belo
29927892,-27.15369,-48.57235,Perequê,Porto Belo
54184369,-27.15402,-48.58122,Perequê,Porto Belo
30911045,-27.15836,-48.5722,Perequê,Porto Belo
722502307424059072,-27.15817,-48.57642,Alto Perequê,Porto Belo
703588047014101689,-27.1531,-48.57775,Perequê,Porto Belo
49022689,-27.148447,-48.580181,Perequê,Porto Belo
706628938108739065,-27.14887,-48.57727,Perequê,Porto Belo
753405028911465156,-27.157686747568405,-48.57120171189308,Perequê,Porto Belo
757170251145585262,-27.14889,-48.57903,Perequê,Porto Belo
763877808347292910,-27.156296,-48.5757094,Perequê,Porto Belo
39890282,-27.14882,-48.58036,Perequê,Porto Belo
709941676148126069,-27.158383981766985,-48.57975997030735,Alto Perequê,Porto Belo
32223177,-27.15824,-48.56548,Vila Nova,Porto Belo
54323350,-27.15171,-48.57538,Perequê,Porto Belo
746436859865280928,-27.15435,-48.57366,Perequê,Porto Belo
39032502,-27.15522,-48.57529,Perequê,Porto Belo
697604363858806860,-27.15907,-48.56465,Vila Nova,Porto Belo
42314475,-27.1559,-48.56396,Vila Nova,Porto Belo
725297374488467181,-27.1556769,-48.5698942,Perequê,Porto Belo
21408639,-27.14995,-48.57904,Perequê,Porto Belo
47047563,-27.15276,-48.57562,Perequê,Porto Belo
763573160238279336,-27.15523436652497,-48.570385314524174,Perequê,Porto Belo
21034445,-27.14717,-48.58016,Perequê,Porto Belo
47088695,-27.15507,-48.58047,Perequê,Porto Belo
749348739677929615,-27.154,-48.57171,Perequê,Porto Belo
21933810,-27.1561,-48.56932,Vila Nova,Porto Belo
22644446,-27.15118,-48.57899,Perequê,Porto Belo
47077773,-27.15892,-48.57257,Perequê,Porto Belo
41564820,-27.15722,-48.57313,Perequê,Porto Belo
765058317290374900,-27.15441,-48.56622,Perequê,Porto Belo
689676675656498393,-27.156527631060897,-48.57030241904907,Perequê,Porto Belo
15810353,-27.15286,-48.58204,Perequê,Porto Belo
16791584,-27.15545,-48.56709,Vila Nova,Porto Belo
54077016,-27.1586886,-48.5720257,Vila Nova,Porto Belo
53335881,-27.15336,-48.57311,Perequê,Porto Belo
747127672964176132,-27.15092,-48.57702,Perequê,Porto Belo
749985265933568720,-27.1555975,-48.5735963,Perequê,Porto Belo
48466066,-27.15335,-48.57277,Perequê,Porto Belo
765224642879512785,-27.157,-48.57626,Perequê,Porto Belo
40933854,-27.15548,-48.56761,Vila Nova,Porto Belo
31945409,-27.15264,-48.57823,Perequê,Porto Belo
53455045,-27.15712,-48.57009,Perequê,Porto Belo
562866304058754758,-27.15439,-48.58122,Perequê,Porto Belo
747083479146515697,-27.15900475858416,-48.57490953058005,Alto Perequê,Porto Belo
30317021,-27.15271,-48.57531,Perequê,Porto Belo
38103386,-27.15368,-48.57254,Perequê,Porto Belo
53804551,-27.15945,-48.56121,Vila Nova,Porto Belo
46660836,-27.15606,-48.5765,Perequê,Porto Belo
747077524859752875,-27.159174198339063,-48.57514556497336,Alto Perequê,Porto Belo
32546485,-27.15307,-48.57421,Perequê,Porto Belo
46510662,-27.15228,-48.57289,Perequê,Porto Belo
31741842,-27.15803,-48.57641,Alto Perequê,Porto Belo
53673115,-27.15724,-48.58049,Alto Perequê,Porto Belo
745452304400007150,-27.15356,-48.57354,Perequê,Porto Belo
41870169,-27.15735,-48.56572,Vila Nova,Porto Belo
53189515,-27.15049,-48.57679,Perequê,Porto Belo
9486809,-27.15794,-48.56444,Vila Nova,Porto Belo
41861626,-27.15449,-48.56641,Perequê,Porto Belo
44647390,-27.15543,-48.56801,Vila Nova,Porto Belo
30377528,-27.15534,-48.58006,Perequê,Porto Belo
21924943,-27.15397,-48.56912,Perequê,Porto Belo
727690979248182603,-27.15381137237612,-48.5732113569975,Perequê,Porto Belo
46101184,-27.15612,-48.57597,Perequê,Porto Belo
32137927,-27.15511,-48.57849,Perequê,Porto Belo
22804067,-27.15344,-48.57477,Perequê,Porto Belo
724428366506928438,-27.15417,-48.5766,Perequê,Porto Belo
721173927860114947,-27.15641,-48.57681,Perequê,Porto Belo
649206843715415531,-27.15588,-48.56043,Vila Nova,Porto Belo
52768533,-27.15041,-48.57595,Perequê,Porto Belo
740418719355946535,-27.15611,-48.57087,Perequê,Porto Belo
708768335210938861,-27.15623,-48.57184,Perequê,Porto Belo
21479549,-27.1553,-48.57276,Perequê,Porto Belo
54165526,-27.15795,-48.56359,Vila Nova,Porto Belo
52630294,-27.15524,-48.56686,Perequê,Porto Belo
45912139,-27.1583,-48.57604,Perequê,Porto Belo
725181308200077596,-27.15639,-48.5762,Perequê,Porto Belo
574492757967063347,-27.1457,-48.58387,Perequê,Porto Belo
41434073,-27.15435,-48.58852,Jardim Dourado,Porto Belo
41082173,-27.14446,-48.58806,Meia Praia,Itapema
41590719,-27.14307,-48.59441,Meia Praia,Itapema
744316645679535513,-27.14266,-48.58895,Meia Praia,Itapema
52881554,-27.14454,-48.58866,Meia Praia,Itapema
32006813,-27.15119,-48.59525,Jardim Dourado,Porto Belo
31924629,-27.14964,-48.59482,Jardim Dourado,Porto Belo
38800916,-27.15303,-48.59061,Jardim Dourado,Porto Belo
40958431,-27.14919,-48.5954,Jardim Dourado,Porto Belo
611556315498200663,-27.151627,-48.587772,Jardim Dourado,Porto Belo
749934186668347864,-27.1516,-48.58834,Jardim Dourado,Porto Belo
53899162,-27.14542,-48.5879,Perequê,Porto Belo
41731457,-27.14423,-48.60151,Meia Praia,Itapema
757314444786674030,-27.14686,-48.58943,Jardim Dourado,Porto Belo
53916555,-27.15118,-48.59624,Jardim Dourado,Porto Belo
746233917442056449,-27.14976,-48.58653,Perequê,Porto Belo
41862633,-27.14712,-48.5898,Jardim Dourado,Porto Belo
573027888691871219,-27.1459938,-48.5833604,Perequê,Porto Belo
3977675,-27.14327,-48.60145,Meia Praia,Itapema
707817800293759087,-27.14875,-48.59201,Jardim Dourado,Porto Belo
47268255,-27.15418,-48.58638,Jardim Dourado,Porto Belo
47112687,-27.15092,-48.59507,Jardim Dourado,Porto Belo
769536633500752117,-27.15166,-48.59876,Jardim Dourado,Porto Belo
46725966,-27.14261,-48.58857,Meia Praia,Itapema
30693158,-27.15298,-48.58344,Perequê,Porto Belo
765082478728764224,-27.14846,-48.58869,Jardim Dourado,Porto Belo
40524210,-27.15096,-48.588,Jardim Dourado,Porto Belo
735528968450919786,-27.14978,-48.58556,Perequê,Porto Belo
769483745740962085,-27.15243549580741,-48.59847139567137,Jardim Dourado,Porto Belo
45822839,-27.14556,-48.58636,Perequê,Porto Belo
563679364512422950,-27.14211,-48.59527,Meia Praia,Itapema
767888090154319713,-27.1514448,-48.5883375,Jardim Dourado,Porto Belo
31530689,-27.1422,-48.59011,Meia Praia,Itapema
46372862,-27.14331,-48.58781,Meia Praia,Itapema
763113022018391914,-27.1516,-48.58246,Perequê,Porto Belo
53950991,-27.15061,-48.58935,Jardim Dourado,Porto Belo
30303302,-27.14821,-48.59484,Jardim Dourado,Porto Belo
23234630,-27.1558,-48.58858,Jardim Dourado,Porto Belo
756501691751462050,-27.14822,-48.58673,Perequê,Porto Belo
39499673,-27.14633,-48.58541,Perequê,Porto Belo
737667667929914409,-27.15030479830134,-48.58679339289665,Perequê,Porto Belo
758891346205914761,-27.1511,-48.58803,Jardim Dourado,Porto Belo
47966333,-27.14363,-48.59041,Meia Praia,Itapema
